Sample:	'Red_filter_silica
642.50	86.762
642.00	86.200
641.50	85.661
641.00	85.159
640.50	84.635
640.00	84.022
639.50	83.324
639.00	82.609
638.50	81.933
638.00	81.213
637.50	80.438
637.00	79.538
636.50	78.559
636.00	77.550
635.50	76.499
635.00	75.365
634.50	74.223
634.00	73.051
633.50	71.839
633.00	70.582
632.50	69.230
632.00	67.786
631.50	66.342
631.00	64.900
630.50	63.446
630.00	61.949
629.50	60.369
629.00	58.741
628.50	57.068
628.00	55.336
627.50	53.591
627.00	51.835
626.50	50.060
626.00	48.282
625.50	46.474
625.00	44.614
624.50	42.752
624.00	40.889
623.50	39.020
623.00	37.153
622.50	35.288
622.00	33.436
621.50	31.608
621.00	29.815
620.50	28.047
620.00	26.340
619.50	24.695
619.00	23.113
618.50	21.585
618.00	20.116
617.50	18.699
617.00	17.333
616.50	16.020
616.00	14.763
615.50	13.567
615.00	12.445
614.50	11.394
614.00	10.413
613.50	9.495
613.00	8.647
612.50	7.856
612.00	7.124
611.50	6.445
611.00	5.824
610.50	5.257
610.00	4.745
609.50	4.278
609.00	3.854
608.50	3.466
608.00	3.115
607.50	2.798
607.00	2.516
606.50	2.262
606.00	2.031
605.50	1.819
605.00	1.629
604.50	1.462
604.00	1.316
603.50	1.188
603.00	1.074
602.50	0.974
602.00	0.883
601.50	0.800
601.00	0.723
600.50	0.652
600.00	0.588
599.50	0.532
599.00	0.483
598.50	0.440
598.00	0.401
597.50	0.365
597.00	0.332
596.50	0.304
596.00	0.279
595.50	0.257
595.00	0.237
594.50	0.218
594.00	0.201
593.50	0.186
593.00	0.171
592.50	0.158
592.00	0.146
591.50	0.136
591.00	0.127
590.50	0.119
590.00	0.112
589.50	0.105
589.00	0.098
588.50	0.093
588.00	0.088
587.50	0.083
587.00	0.079
586.50	0.074
586.00	0.069
585.50	0.065
585.00	0.061
584.50	0.057
584.00	0.053
583.50	0.050
583.00	0.047
582.50	0.045
582.00	0.043
581.50	0.041
581.00	0.040
580.50	0.038
580.00	0.037
579.50	0.036
579.00	0.035
578.50	0.034
578.00	0.032
577.50	0.031
577.00	0.030
576.50	0.029
576.00	0.029
575.50	0.029
575.00	0.028
574.50	0.028
574.00	0.027
573.50	0.026
573.00	0.024
572.50	0.023
572.00	0.023
571.50	0.022
571.00	0.021
570.50	0.021
570.00	0.020
569.50	0.019
569.00	0.019
568.50	0.019
568.00	0.018
567.50	0.017
567.00	0.016
566.50	0.016
566.00	0.015
565.50	0.015
565.00	0.015
564.50	0.015
564.00	0.015
563.50	0.014
563.00	0.014
562.50	0.013
562.00	0.012
561.50	0.012
561.00	0.011
560.50	0.011
560.00	0.011
559.50	0.011
559.00	0.012
558.50	0.012
558.00	0.012
557.50	0.012
557.00	0.011
556.50	0.011
556.00	0.010
555.50	0.010
555.00	0.009
554.50	0.009
554.00	0.009
553.50	0.009
553.00	0.010
552.50	0.010
552.00	0.011
551.50	0.011
551.00	0.010
550.50	0.010
550.00	0.010
549.50	0.009
549.00	0.009
548.50	0.008
548.00	0.007
547.50	0.007
547.00	0.007
546.50	0.008
546.00	0.008
545.50	0.008
545.00	0.008
544.50	0.008
544.00	0.008
543.50	0.008
543.00	0.007
542.50	0.007
542.00	0.007
541.50	0.007
541.00	0.007
540.50	0.007
540.00	0.007
539.50	0.007
539.00	0.007
538.50	0.007
538.00	0.006
537.50	0.006
537.00	0.006
536.50	0.006
536.00	0.006
535.50	0.006
535.00	0.007
534.50	0.007
534.00	0.007
533.50	0.006
533.00	0.006
532.50	0.006
532.00	0.006
531.50	0.006
531.00	0.006
530.50	0.006
530.00	0.006
529.50	0.006
529.00	0.006
528.50	0.006
528.00	0.006
527.50	0.006
527.00	0.006
526.50	0.006
526.00	0.006
525.50	0.005
525.00	0.005
524.50	0.005
524.00	0.005
523.50	0.005
523.00	0.005
522.50	0.005
522.00	0.006
521.50	0.006
521.00	0.006
520.50	0.006
520.00	0.006
519.50	0.006
519.00	0.006
518.50	0.006
518.00	0.006
517.50	0.006
517.00	0.006
516.50	0.006
516.00	0.007
515.50	0.007
515.00	0.007
514.50	0.006
514.00	0.006
513.50	0.006
513.00	0.006
512.50	0.006
512.00	0.006
511.50	0.006
511.00	0.006
510.50	0.006
510.00	0.005
509.50	0.005
509.00	0.005
508.50	0.005
508.00	0.005
507.50	0.005
507.00	0.005
506.50	0.005
506.00	0.005
505.50	0.006
505.00	0.006
504.50	0.005
504.00	0.005
503.50	0.005
503.00	0.006
502.50	0.006
502.00	0.006
501.50	0.007
501.00	0.007
500.50	0.006
